,LID,Name,Region,Flaeche,Einwohner,BIP
0,1,Afghanistan,Asien,652000,25838797.0,21000000000.0
1,2,Albanien,Europa,28748,3490435.0,5600000000.0
2,3,Algerien,Afrika,2381740,31193917.0,147600000000.0
3,4,Amerikanische Samoa-Inseln,Ozeanien,199,65446.0,150000000.0
4,5,Andorra,Europa,468,66824.0,1200000000.0
5,6,Angola,Afrika,1246700,10145267.0,11600000000.0
6,7,Anguilla,Mittelamerika,91,11797.0,88000000.0
7,8,Antarktik,Antarktis,14000000,,
8,9,Antigua und Barbuda,Mittelamerika,442,66422.0,524000000.0
9,10,Argentinien,Südamerika,2766890,36955182.0,367000000000.0
10,11,Armenien,Osteuropa,29800,3344336.0,9900000000.0
11,12,Aruba,Mittelamerika,193,69539.0,1600000000.0
12,13,Australien,Ozeanien,7686850,19169083.0,416200000000.0
13,14,Österreich,Europa,83858,8131111.0,190600000000.0
14,15,Azerbaijan,Osteuropa,86600,7748163.0,14000000000.0
15,16,Bahamas,Mittelamerika,13940,294982.0,5580000000.0
16,17,Bahrain,Mittlerer Osten,620,634137.0,8600000000.0
17,18,Bangladesh,Asien,144000,129194224.0,187000000000.0
18,19,Barbados,Mittelamerika,430,274540.0,2900000000.0
19,20,Belarus,Osteuropa,207600,10366719.0,55200000000.0
20,21,Belgien,Europa,30510,10241506.0,243400000000.0
21,22,Belize,Mittelamerika,22960,249183.0,740000000.0
22,23,Benin,Afrika,112620,6395919.0,8100000000.0
23,24,Bermuda,Nordamerika,58,62997.0,2000000000.0
24,25,Bhutan,Asien,47000,2005222.0,2100000000.0
25,26,Bolivien,Südamerika,1098580,8152620.0,24200000000.0
26,27,Bosnien und Herzegovina,Europa,51129,3835777.0,6200000000.0
27,28,Botswana,Afrika,600370,1576470.0,5700000000.0
28,29,Brasilien,Südamerika,8511965,172860370.0,1130000000000.0
29,30,British Virgin Islands,Mittelamerika,150,19615.0,287000000.0
30,31,Brunei,Südostasien,5770,336376.0,5600000000.0
31,32,Bulgarien,Europa,110910,7796694.0,34900000000.0
32,33,Burkina Faso,Afrika,274200,11946065.0,12400000000.0
33,34,Burma,Südostasien,678500,41734853.0,59400000000.0
34,35,Burundi,Afrika,27830,6054714.0,4200000000.0
35,36,Kambodscha,Südostasien,181040,12212306.0,8200000000.0
36,37,Cameroon,Afrika,475440,15421937.0,31500000000.0
37,38,Kanada,Nordamerika,9976140,31281092.0,722300000000.0
38,39,Cape Verde,Welt,4033,401343.0,618000000.0
39,40,Cayman-Inseln,Afrika,259,34763.0,930000000.0
40,41,Zentral-Afrikanische Republik,Afrika,622984,3512751.0,5800000000.0
41,42,Tschad,Afrika,1284000,8424504.0,7600000000.0
42,43,Chile,Südamerika,756950,15153797.0,185100000000.0
43,44,China,Asien,9596960,1261832482.0,4800000000000.0
44,45,Christmas Island,Südostasien,135,2564.0,
45,46,Cocos )(Keeling) Islands,Südostasien,14,635.0,
46,47,Kolumbien,Südamerika,1138910,39685655.0,245100000000.0
47,48,Comoren,Afrika,2170,578400.0,410000000.0
48,49,Kongo demokratische Republik,Afrika,2345410,51964999.0,35700000000.0
49,50,Kongo demokratische Republik,Afrika,342000,2830961.0,4150000000.0
50,51,Cook Islands,Ozeanien,240,20407.0,112000000.0
51,52,Costa-Rica,Mittelamerika,51100,3710558.0,26000000000.0
52,53,Cote d Ivoire,Afrika,322460,15980950.0,25700000000.0
53,54,Kroatien,Europa,56538,4282216.0,23900000000.0
54,55,Kuba,Mittelamerika,110860,11141997.0,18600000000.0
55,56,Zypern,Mittlerer Osten,9250,758363.0,9000000.0
56,57,Tschechische Republik,Europa,78866,10272179.0,120800000000.0
57,58,Dänemark,Europa,43094,5336394.0,127700000000.0
58,59,Djibouti,Afrika,22000,451442.0,550000000.0
59,60,Dominica,Mittelamerika,754,71540.0,225000000.0
60,61,Dominikanische Republik,Mittelamerika,48730,8442533.0,43700000000.0
61,62,Ecuador,Südamerika,283560,12920092.0,54500000000.0
62,63,Ägypten,Afrika,1001450,68359979.0,200000000000.0
63,64,El Salvador,Mittelamerika,21040,6122515.0,18100000000.0
